"wax","NICKNAME_PREFIX","Timestopped "
"wax","PETRIFY_ADMIN","*Pyralis drips wax over {target.display_name}.*
{source.display_name} thinks you'd look good like this. Be sure to strike a nice pose for us~"
"wax","PETRIFY_ADMIN_OVERWRITE","*{target.display_name}'s status has been admin-locked by {source.display_name}*"
"wax","PETRIFY_SELF_TOGGLE","*{target.display_name} slows down before freezing in time completely.*"
"wax","PETRIFY_SELF_TIME","{target.display_name}, let's keep you like that until {time}. *Pyralis' eyes flash and her target goes unwaveringly still.*"
"wax","PETRIFY_SELF_CHANCE","{target.display_name} has self-petrified with a chance of {chance} and an interval of {interval}"
"wax","ERROR_ALREADY_PETRIFIED","*{target.display_name} is already frozen in time.*"
"wax","ERROR_ALREADY_UNPETRIFIED","{target.display_name} is already moving around, silly."
"wax","ERROR_STATUS_MISMATCH","{target.display_name} seems to be moving around. Why did I think they were timestopped?"
"wax","ERROR_UNPETRIFY_BY_SELF_WHEN_ADMIN_LOCKED","I feel like {target.display_name} would be trying to move if they weren't timestopped."
"wax","ERROR_UNPETRIFY_BY_SELF_WHEN_TIME_LOCKED","Timelock, timestopped {target.display_name}~ Has a nice ring to it, don't you think?"
"wax","UNPETRIFY_ADMIN","{target.display_name} needs to return to work. Or so says {source.display_name}..."
"wax","ERROR_UNPETRIFY_BY_ADMIN_SELF_LOCKED","{source.display_name} isn't supposed to be doing anything right now, {target.display_name}."
"wax","UNPETRIFY_SELF_TOGGLE","*{target.display_name} returns to movement.*"
"wax","UNPETRIFY_SELF_TIME","Time to get back to it, {target.display_name}!"
"wax","UNPETRIFY_SELF_CHANCE","{target.display_name} has passed the chance check"
"wax","ERROR_PETRIFY_NOT_ADMIN","{source.display_name} has attempted to petrify {target.display_name}, but they are not an admin"
"wax","ERROR_PETRIFY_NOT_CANDIDATE","{source.display_name} has attempted to petrify {target.display_name}, but that target is not in the candidate role"
"wax","ERROR_UNPETRIFY_NOT_ADMIN","{source.display_name} has attempted to unpetrify {target.display_name}, but they are not an admin"
"wax","ERROR_UNPETRIFY_NOT_CANDIDATE","{source.display_name} has attempted to unpetrify {target.display_name}, but that target is not in the candidate role"
